start_date,end_date,"station id",lat,lon,elev
1988/10/01,2100/01/01,695,43.57,-111.21,6720
1979/10/01,2100/01/01,677,42.26,-112.13,6740
2004/08/26,2100/01/01,1065,37.5,-113.94,6763
1987/10/01,2100/01/01,497,43.34,-110.43,6770
2003/10/01,2100/01/01,1054,40.99,-111.82,6779
1984/10/01,2100/01/01,646,47.68,-113.96,6780
1978/10/01,2100/01/01,770,42.95,-111.36,6800
1978/10/01,2100/01/01,858,44.61,-111.15,6800
1979/10/01,2100/01/01,424,44.44,-111.99,6860
1978/10/01,2100/01/01,439,44.54,-115.56,6860
1978/10/01,2100/01/01,578,45.5,-110.97,6860
1994/08/30,2100/01/01,818,44.81,-107.41,6870
1979/10/01,2100/01/01,610,42.18,-114.29,6880
1987/10/01,2100/01/01,893,46.35,-111.85,6880
1979/10/01,2100/01/01,307,48.13,-113.02,6900
1978/10/01,2100/01/01,877,33.81,-110.92,6900
1979/10/01,2100/01/01,373,41.75,-117.53,6915
1989/10/01,2100/01/01,764,44.13,-110.67,6920
1979/10/01,2100/01/01,493,42.41,-111.17,6930
1978/10/01,2100/01/01,414,47.08,-112.73,6950
1979/10/01,2100/01/01,476,41.82,-116.1,7000
1987/10/01,2100/01/01,753,44.98,-111.95,7000
1993/10/01,2100/01/01,903,46.84,-112.51,7020
1979/10/01,2100/01/01,314,43.95,-110.45,7030
1979/10/01,2100/01/01,312,44.3,-115.23,7040
1979/10/01,2100/01/01,550,44.05,-115.44,7070
1994/08/30,2100/01/01,906,40.57,-112.17,7093
1978/10/01,2100/01/01,746,41.74,-115.47,7100
2009/05/15,2100/01/01,1139,35.26,-112.06,7100
1986/10/01,2100/01/01,807,44.48,-110.04,7120
1989/10/01,2100/01/01,871,42.01,-115,7120
1979/10/01,2100/01/01,315,45.8,-112.52,7180
1978/10/01,2100/01/01,861,35.14,-112.15,7180
1982/10/01,2100/01/01,454,41.66,-115.32,7200
1978/10/01,2100/01/01,488,35.07,-111.84,7200
1998/08/17,2100/01/01,930,46.13,-113.31,7200
1978/10/01,2100/01/01,349,46.41,-113.43,7210
1978/10/01,2100/01/01,761,42.56,-111.3,7225
1978/10/01,2100/01/01,548,41.55,-116.01,7250
1979/10/01,2100/01/01,760,46.24,-113.77,7250
1993/10/01,2100/01/01,896,40.87,-111.72,7250
1978/10/01,2100/01/01,499,44.13,-110.83,7265
1978/10/01,2100/01/01,308,34.46,-111.41,7300
1994/09/30,2100/01/01,365,45.89,-110.94,7320
1978/10/01,2100/01/01,670,45.01,-110.01,7350
2008/06/26,2100/01/01,1121,35.27,-111.74,7350
1979/10/01,2100/01/01,471,42.36,-111.56,7390
1978/10/01,2100/01/01,568,44.59,-111.82,7400
1994/07/26,2100/01/01,901,47,-113.93,7400
2000/08/21,2100/01/01,1006,40.36,-116.86,7400
2009/06/10,2100/01/01,1115,41.97,-111.6,7400
2010/06/17,2100/01/01,1145,41.25,-111.41,7400
1978/10/01,2100/01/01,844,39.94,-112.41,7401
2001/10/01,2100/01/01,1013,41.79,-111.55,7406
1993/10/01,2100/01/01,1008,46.91,-110.85,7410
1979/10/01,2100/01/01,792,43.86,-114.21,7430
1985/10/01,2100/01/01,317,41.05,-107.27,7440
1979/10/01,2100/01/01,537,43.71,-114.16,7440
1979/10/01,2100/01/01,636,44.41,-113.4,7440
1985/10/01,2100/01/01,593,37.49,-112.51,7464
1979/10/01,2100/01/01,489,43.88,-114.67,7470
1979/10/01,2100/01/01,359,42.16,-114.19,7500
1978/10/01,2100/01/01,640,34.94,-111.52,7500
1978/10/01,2100/01/01,684,40.76,-111.63,7500
1978/10/01,2100/01/01,306,43.76,-115.24,7580
1978/10/01,2100/01/01,355,45.17,-113.5,7600
1979/10/01,2100/01/01,639,44.84,-114.27,7600
1978/10/01,2100/01/01,763,40.79,-111.12,7600
1995/08/24,2100/01/01,919,46.67,-110.33,7600
2008/07/09,2100/01/01,1106,46.48,-110.71,7600
2009/07/28,2100/01/01,1114,41.92,-111.47,7600
1999/06/14,2100/01/01,969,34.75,-111.41,7630
1978/10/01,2100/01/01,519,34.31,-110.75,7640
1978/10/01,2100/01/01,805,43.63,-113.97,7640
2011/09/12,2100/01/01,1194,41.49,-119,7649
1979/10/01,2100/01/01,875,44.8,-109.66,7650
1978/10/01,2100/01/01,400,39.89,-111.25,7659
1982/10/01,2100/01/01,419,42.65,-110.81,7670
